"Plot","Microsite","Exclosure","Gradient","SWC.Peak","Species","Abundance"
17,"Open","Y",0,11.8,"BromusR",58
17,"Shrub","Y",0,12.4,"BromusR",62
17,"Open","Y",0,11.8,"Amsinckia",0
17,"Shrub","Y",0,12.4,"Amsinckia",0
17,"Open","Y",0,11.8,"Brassica",0
17,"Shrub","Y",0,12.4,"Brassica",0
17,"Open","Y",0,11.8,"BromusH",0
17,"Shrub","Y",0,12.4,"BromusH",0
17,"Open","Y",0,11.8,"Erodium",14
17,"Shrub","Y",0,12.4,"Erodium",3
17,"Open","Y",0,11.8,"Hordeum",0
17,"Shrub","Y",0,12.4,"Hordeum",0
17,"Open","Y",0,11.8,"Marrubium",0
17,"Shrub","Y",0,12.4,"Marrubium",0
17,"Open","Y",0,11.8,"Schismus",0
17,"Shrub","Y",0,12.4,"Schismus",0
18,"Open","Y",2,7,"BromusR",13
18,"Shrub","Y",2,5.8,"BromusR",70
18,"Open","Y",2,7,"Amsinckia",0
18,"Shrub","Y",2,5.8,"Amsinckia",0
18,"Open","Y",2,7,"Brassica",0
18,"Shrub","Y",2,5.8,"Brassica",0
18,"Open","Y",2,7,"BromusH",0
18,"Shrub","Y",2,5.8,"BromusH",0
18,"Open","Y",2,7,"Erodium",36
18,"Shrub","Y",2,5.8,"Erodium",4
18,"Open","Y",2,7,"Hordeum",3
18,"Shrub","Y",2,5.8,"Hordeum",0
18,"Open","Y",2,7,"Marrubium",0
18,"Shrub","Y",2,5.8,"Marrubium",0
18,"Open","Y",2,7,"Schismus",0
18,"Shrub","Y",2,5.8,"Schismus",0
22,"Open","Y",4,9.4,"BromusR",0
22,"Shrub","Y",4,6.2,"BromusR",6
22,"Open","Y",4,9.4,"Amsinckia",0
22,"Shrub","Y",4,6.2,"Amsinckia",0
22,"Open","Y",4,9.4,"Brassica",0
22,"Shrub","Y",4,6.2,"Brassica",0
22,"Open","Y",4,9.4,"BromusH",0
22,"Shrub","Y",4,6.2,"BromusH",0
22,"Open","Y",4,9.4,"Erodium",15
22,"Shrub","Y",4,6.2,"Erodium",4
22,"Open","Y",4,9.4,"Hordeum",0
22,"Shrub","Y",4,6.2,"Hordeum",0
22,"Open","Y",4,9.4,"Marrubium",0
22,"Shrub","Y",4,6.2,"Marrubium",0
22,"Open","Y",4,9.4,"Schismus",61
22,"Shrub","Y",4,6.2,"Schismus",29
24,"Open","Y",5,10,"BromusR",21
24,"Shrub","Y",5,4.8,"BromusR",47
24,"Open","Y",5,10,"Amsinckia",0
24,"Shrub","Y",5,4.8,"Amsinckia",0
24,"Open","Y",5,10,"Brassica",0
24,"Shrub","Y",5,4.8,"Brassica",0
24,"Open","Y",5,10,"BromusH",0
24,"Shrub","Y",5,4.8,"BromusH",3
24,"Open","Y",5,10,"Erodium",25
24,"Shrub","Y",5,4.8,"Erodium",12
24,"Open","Y",5,10,"Hordeum",0
24,"Shrub","Y",5,4.8,"Hordeum",0
24,"Open","Y",5,10,"Marrubium",8
24,"Shrub","Y",5,4.8,"Marrubium",0
24,"Open","Y",5,10,"Schismus",29
24,"Shrub","Y",5,4.8,"Schismus",0
25,"Open","N",5,12.8,"BromusR",8
25,"Shrub","N",5,7.6,"BromusR",31
25,"Open","N",5,12.8,"Amsinckia",0
25,"Shrub","N",5,7.6,"Amsinckia",0
25,"Open","N",5,12.8,"Brassica",0
25,"Shrub","N",5,7.6,"Brassica",0
25,"Open","N",5,12.8,"BromusH",0
25,"Shrub","N",5,7.6,"BromusH",0
25,"Open","N",5,12.8,"Erodium",8
25,"Shrub","N",5,7.6,"Erodium",1
25,"Open","N",5,12.8,"Hordeum",0
25,"Shrub","N",5,7.6,"Hordeum",0
25,"Open","N",5,12.8,"Marrubium",0
25,"Shrub","N",5,7.6,"Marrubium",0
25,"Open","N",5,12.8,"Schismus",0
25,"Shrub","N",5,7.6,"Schismus",0
28,"Open","N",4,12.6,"BromusR",30
28,"Shrub","N",4,15.4,"BromusR",84
28,"Open","N",4,12.6,"Amsinckia",0
28,"Shrub","N",4,15.4,"Amsinckia",0
28,"Open","N",4,12.6,"Brassica",0
28,"Shrub","N",4,15.4,"Brassica",0
28,"Open","N",4,12.6,"BromusH",0
28,"Shrub","N",4,15.4,"BromusH",4
28,"Open","N",4,12.6,"Erodium",12
28,"Shrub","N",4,15.4,"Erodium",19
28,"Open","N",4,12.6,"Hordeum",0
28,"Shrub","N",4,15.4,"Hordeum",0
28,"Open","N",4,12.6,"Marrubium",0
28,"Shrub","N",4,15.4,"Marrubium",0
28,"Open","N",4,12.6,"Schismus",0
28,"Shrub","N",4,15.4,"Schismus",0
30,"Open","N",1,12.2,"BromusR",47
30,"Shrub","N",1,7.3,"BromusR",79
30,"Open","N",1,12.2,"Amsinckia",0
30,"Shrub","N",1,7.3,"Amsinckia",0
30,"Open","N",1,12.2,"Brassica",0
30,"Shrub","N",1,7.3,"Brassica",0
30,"Open","N",1,12.2,"BromusH",1
30,"Shrub","N",1,7.3,"BromusH",6
30,"Open","N",1,12.2,"Erodium",19
30,"Shrub","N",1,7.3,"Erodium",12
30,"Open","N",1,12.2,"Hordeum",0
30,"Shrub","N",1,7.3,"Hordeum",0
30,"Open","N",1,12.2,"Marrubium",0
30,"Shrub","N",1,7.3,"Marrubium",0
30,"Open","N",1,12.2,"Schismus",0
30,"Shrub","N",1,7.3,"Schismus",0
31,"Open","N",0,5.1,"BromusR",50
31,"Shrub","N",0,8.4,"BromusR",60
31,"Open","N",0,5.1,"Amsinckia",0
31,"Shrub","N",0,8.4,"Amsinckia",0
31,"Open","N",0,5.1,"Brassica",0
31,"Shrub","N",0,8.4,"Brassica",0
31,"Open","N",0,5.1,"BromusH",0
31,"Shrub","N",0,8.4,"BromusH",3
31,"Open","N",0,5.1,"Erodium",18
31,"Shrub","N",0,8.4,"Erodium",9
31,"Open","N",0,5.1,"Hordeum",0
31,"Shrub","N",0,8.4,"Hordeum",0
31,"Open","N",0,5.1,"Marrubium",0
31,"Shrub","N",0,8.4,"Marrubium",0
31,"Open","N",0,5.1,"Schismus",0
31,"Shrub","N",0,8.4,"Schismus",0
43,"Open","N",2,12.7,"BromusR",61
43,"Shrub","N",2,10.2,"BromusR",67
43,"Open","N",2,12.7,"Amsinckia",0
43,"Shrub","N",2,10.2,"Amsinckia",0
43,"Open","N",2,12.7,"Brassica",0
43,"Shrub","N",2,10.2,"Brassica",0
43,"Open","N",2,12.7,"BromusH",0
43,"Shrub","N",2,10.2,"BromusH",4
43,"Open","N",2,12.7,"Erodium",11
43,"Shrub","N",2,10.2,"Erodium",10
43,"Open","N",2,12.7,"Hordeum",0
43,"Shrub","N",2,10.2,"Hordeum",0
43,"Open","N",2,12.7,"Marrubium",0
43,"Shrub","N",2,10.2,"Marrubium",0
43,"Open","N",2,12.7,"Schismus",0
43,"Shrub","N",2,10.2,"Schismus",0
46,"Open","Y",3,10.5,"BromusR",51
46,"Shrub","Y",3,6.2,"BromusR",221
46,"Open","Y",3,10.5,"Amsinckia",0
46,"Shrub","Y",3,6.2,"Amsinckia",0
46,"Open","Y",3,10.5,"Brassica",0
46,"Shrub","Y",3,6.2,"Brassica",0
46,"Open","Y",3,10.5,"BromusH",0
46,"Shrub","Y",3,6.2,"BromusH",2
46,"Open","Y",3,10.5,"Erodium",14
46,"Shrub","Y",3,6.2,"Erodium",0
46,"Open","Y",3,10.5,"Hordeum",0
46,"Shrub","Y",3,6.2,"Hordeum",0
46,"Open","Y",3,10.5,"Marrubium",0
46,"Shrub","Y",3,6.2,"Marrubium",0
46,"Open","Y",3,10.5,"Schismus",0
46,"Shrub","Y",3,6.2,"Schismus",0
47,"Open","N",0,9,"BromusR",66
47,"Shrub","N",0,6.6,"BromusR",69
47,"Open","N",0,9,"Amsinckia",0
47,"Shrub","N",0,6.6,"Amsinckia",0
47,"Open","N",0,9,"Brassica",0
47,"Shrub","N",0,6.6,"Brassica",0
47,"Open","N",0,9,"BromusH",0
47,"Shrub","N",0,6.6,"BromusH",0
47,"Open","N",0,9,"Erodium",12
47,"Shrub","N",0,6.6,"Erodium",15
47,"Open","N",0,9,"Hordeum",0
47,"Shrub","N",0,6.6,"Hordeum",0
47,"Open","N",0,9,"Marrubium",0
47,"Shrub","N",0,6.6,"Marrubium",0
47,"Open","N",0,9,"Schismus",0
47,"Shrub","N",0,6.6,"Schismus",0
48,"Open","N",4,10.3,"BromusR",66
48,"Shrub","N",4,9,"BromusR",68
48,"Open","N",4,10.3,"Amsinckia",0
48,"Shrub","N",4,9,"Amsinckia",0
48,"Open","N",4,10.3,"Brassica",0
48,"Shrub","N",4,9,"Brassica",0
48,"Open","N",4,10.3,"BromusH",4
48,"Shrub","N",4,9,"BromusH",0
48,"Open","N",4,10.3,"Erodium",9
48,"Shrub","N",4,9,"Erodium",8
48,"Open","N",4,10.3,"Hordeum",0
48,"Shrub","N",4,9,"Hordeum",0
48,"Open","N",4,10.3,"Marrubium",0
48,"Shrub","N",4,9,"Marrubium",0
48,"Open","N",4,10.3,"Schismus",9
48,"Shrub","N",4,9,"Schismus",0
50,"Open","N",2,9.4,"BromusR",78
50,"Shrub","N",2,6.9,"BromusR",115
50,"Open","N",2,9.4,"Amsinckia",0
50,"Shrub","N",2,6.9,"Amsinckia",0
50,"Open","N",2,9.4,"Brassica",0
50,"Shrub","N",2,6.9,"Brassica",0
50,"Open","N",2,9.4,"BromusH",10
50,"Shrub","N",2,6.9,"BromusH",0
50,"Open","N",2,9.4,"Erodium",10
50,"Shrub","N",2,6.9,"Erodium",0
50,"Open","N",2,9.4,"Hordeum",0
50,"Shrub","N",2,6.9,"Hordeum",0
50,"Open","N",2,9.4,"Marrubium",0
50,"Shrub","N",2,6.9,"Marrubium",0
50,"Open","N",2,9.4,"Schismus",0
50,"Shrub","N",2,6.9,"Schismus",0
65,"Open","N",2,7.6,"BromusR",41
65,"Shrub","N",2,2.8,"BromusR",25
65,"Open","N",2,7.6,"Amsinckia",0
65,"Shrub","N",2,2.8,"Amsinckia",0
65,"Open","N",2,7.6,"Brassica",0
65,"Shrub","N",2,2.8,"Brassica",0
65,"Open","N",2,7.6,"BromusH",0
65,"Shrub","N",2,2.8,"BromusH",8
65,"Open","N",2,7.6,"Erodium",12
65,"Shrub","N",2,2.8,"Erodium",0
65,"Open","N",2,7.6,"Hordeum",0
65,"Shrub","N",2,2.8,"Hordeum",9
65,"Open","N",2,7.6,"Marrubium",0
65,"Shrub","N",2,2.8,"Marrubium",0
65,"Open","N",2,7.6,"Schismus",0
65,"Shrub","N",2,2.8,"Schismus",0
72,"Open","N",4,10,"BromusR",36
72,"Shrub","N",4,9.5,"BromusR",51
72,"Open","N",4,10,"Amsinckia",0
72,"Shrub","N",4,9.5,"Amsinckia",0
72,"Open","N",4,10,"Brassica",0
72,"Shrub","N",4,9.5,"Brassica",2
72,"Open","N",4,10,"BromusH",0
72,"Shrub","N",4,9.5,"BromusH",5
72,"Open","N",4,10,"Erodium",20
72,"Shrub","N",4,9.5,"Erodium",0
72,"Open","N",4,10,"Hordeum",0
72,"Shrub","N",4,9.5,"Hordeum",0
72,"Open","N",4,10,"Marrubium",0
72,"Shrub","N",4,9.5,"Marrubium",0
72,"Open","N",4,10,"Schismus",0
72,"Shrub","N",4,9.5,"Schismus",0
73,"Open","N",4,11,"BromusR",22
73,"Shrub","N",4,3.8,"BromusR",42
73,"Open","N",4,11,"Amsinckia",0
73,"Shrub","N",4,3.8,"Amsinckia",0
73,"Open","N",4,11,"Brassica",0
73,"Shrub","N",4,3.8,"Brassica",0
73,"Open","N",4,11,"BromusH",0
73,"Shrub","N",4,3.8,"BromusH",0
73,"Open","N",4,11,"Erodium",6
73,"Shrub","N",4,3.8,"Erodium",0
73,"Open","N",4,11,"Hordeum",0
73,"Shrub","N",4,3.8,"Hordeum",0
73,"Open","N",4,11,"Marrubium",0
73,"Shrub","N",4,3.8,"Marrubium",0
73,"Open","N",4,11,"Schismus",0
73,"Shrub","N",4,3.8,"Schismus",0
75,"Open","N",1,8.8,"BromusR",53
75,"Shrub","N",1,7.4,"BromusR",68
75,"Open","N",1,8.8,"Amsinckia",0
75,"Shrub","N",1,7.4,"Amsinckia",0
75,"Open","N",1,8.8,"Brassica",0
75,"Shrub","N",1,7.4,"Brassica",0
75,"Open","N",1,8.8,"BromusH",0
75,"Shrub","N",1,7.4,"BromusH",9
75,"Open","N",1,8.8,"Erodium",11
75,"Shrub","N",1,7.4,"Erodium",0
75,"Open","N",1,8.8,"Hordeum",0
75,"Shrub","N",1,7.4,"Hordeum",0
75,"Open","N",1,8.8,"Marrubium",0
75,"Shrub","N",1,7.4,"Marrubium",0
75,"Open","N",1,8.8,"Schismus",0
75,"Shrub","N",1,7.4,"Schismus",0
76,"Open","N",3,9.2,"BromusR",30
76,"Shrub","N",3,5.4,"BromusR",185
76,"Open","N",3,9.2,"Amsinckia",0
76,"Shrub","N",3,5.4,"Amsinckia",0
76,"Open","N",3,9.2,"Brassica",0
76,"Shrub","N",3,5.4,"Brassica",0
76,"Open","N",3,9.2,"BromusH",4
76,"Shrub","N",3,5.4,"BromusH",0
76,"Open","N",3,9.2,"Erodium",18
76,"Shrub","N",3,5.4,"Erodium",0
76,"Open","N",3,9.2,"Hordeum",0
76,"Shrub","N",3,5.4,"Hordeum",0
76,"Open","N",3,9.2,"Marrubium",0
76,"Shrub","N",3,5.4,"Marrubium",0
76,"Open","N",3,9.2,"Schismus",0
76,"Shrub","N",3,5.4,"Schismus",0
78,"Open","Y",2,13.6,"BromusR",61
78,"Shrub","Y",2,14.2,"BromusR",147
78,"Open","Y",2,13.6,"Amsinckia",0
78,"Shrub","Y",2,14.2,"Amsinckia",0
78,"Open","Y",2,13.6,"Brassica",0
78,"Shrub","Y",2,14.2,"Brassica",0
78,"Open","Y",2,13.6,"BromusH",39
78,"Shrub","Y",2,14.2,"BromusH",0
78,"Open","Y",2,13.6,"Erodium",11
78,"Shrub","Y",2,14.2,"Erodium",13
78,"Open","Y",2,13.6,"Hordeum",0
78,"Shrub","Y",2,14.2,"Hordeum",0
78,"Open","Y",2,13.6,"Marrubium",0
78,"Shrub","Y",2,14.2,"Marrubium",0
78,"Open","Y",2,13.6,"Schismus",0
78,"Shrub","Y",2,14.2,"Schismus",0
82,"Open","N",5,7.6,"BromusR",21
82,"Shrub","N",5,8.6,"BromusR",77
82,"Open","N",5,7.6,"Amsinckia",0
82,"Shrub","N",5,8.6,"Amsinckia",0
82,"Open","N",5,7.6,"Brassica",0
82,"Shrub","N",5,8.6,"Brassica",0
82,"Open","N",5,7.6,"BromusH",0
82,"Shrub","N",5,8.6,"BromusH",2
82,"Open","N",5,7.6,"Erodium",8
82,"Shrub","N",5,8.6,"Erodium",0
82,"Open","N",5,7.6,"Hordeum",0
82,"Shrub","N",5,8.6,"Hordeum",0
82,"Open","N",5,7.6,"Marrubium",0
82,"Shrub","N",5,8.6,"Marrubium",4
82,"Open","N",5,7.6,"Schismus",67
82,"Shrub","N",5,8.6,"Schismus",0
91,"Open","N",5,9.3,"BromusR",210
91,"Shrub","N",5,6.2,"BromusR",199
91,"Open","N",5,9.3,"Amsinckia",0
91,"Shrub","N",5,6.2,"Amsinckia",0
91,"Open","N",5,9.3,"Brassica",0
91,"Shrub","N",5,6.2,"Brassica",0
91,"Open","N",5,9.3,"BromusH",0
91,"Shrub","N",5,6.2,"BromusH",16
91,"Open","N",5,9.3,"Erodium",0
91,"Shrub","N",5,6.2,"Erodium",0
91,"Open","N",5,9.3,"Hordeum",0
91,"Shrub","N",5,6.2,"Hordeum",11
91,"Open","N",5,9.3,"Marrubium",0
91,"Shrub","N",5,6.2,"Marrubium",0
91,"Open","N",5,9.3,"Schismus",0
91,"Shrub","N",5,6.2,"Schismus",0
96,"Open","N",5,9.6,"BromusR",139
96,"Shrub","N",5,7,"BromusR",153
96,"Open","N",5,9.6,"Amsinckia",0
96,"Shrub","N",5,7,"Amsinckia",0
96,"Open","N",5,9.6,"Brassica",0
96,"Shrub","N",5,7,"Brassica",0
96,"Open","N",5,9.6,"BromusH",10
96,"Shrub","N",5,7,"BromusH",0
96,"Open","N",5,9.6,"Erodium",24
96,"Shrub","N",5,7,"Erodium",27
96,"Open","N",5,9.6,"Hordeum",0
96,"Shrub","N",5,7,"Hordeum",0
96,"Open","N",5,9.6,"Marrubium",0
96,"Shrub","N",5,7,"Marrubium",0
96,"Open","N",5,9.6,"Schismus",0
96,"Shrub","N",5,7,"Schismus",0
97,"Open","N",1,13,"BromusR",46
97,"Shrub","N",1,8.5,"BromusR",180
97,"Open","N",1,13,"Amsinckia",0
97,"Shrub","N",1,8.5,"Amsinckia",0
97,"Open","N",1,13,"Brassica",0
97,"Shrub","N",1,8.5,"Brassica",0
97,"Open","N",1,13,"BromusH",0
97,"Shrub","N",1,8.5,"BromusH",6
97,"Open","N",1,13,"Erodium",10
97,"Shrub","N",1,8.5,"Erodium",0
97,"Open","N",1,13,"Hordeum",0
97,"Shrub","N",1,8.5,"Hordeum",0
97,"Open","N",1,13,"Marrubium",0
97,"Shrub","N",1,8.5,"Marrubium",0
97,"Open","N",1,13,"Schismus",0
97,"Shrub","N",1,8.5,"Schismus",0
103,"Open","N",2,10.2,"BromusR",41
103,"Shrub","N",2,5.2,"BromusR",35
103,"Open","N",2,10.2,"Amsinckia",0
103,"Shrub","N",2,5.2,"Amsinckia",0
103,"Open","N",2,10.2,"Brassica",0
103,"Shrub","N",2,5.2,"Brassica",0
103,"Open","N",2,10.2,"BromusH",0
103,"Shrub","N",2,5.2,"BromusH",0
103,"Open","N",2,10.2,"Erodium",27
103,"Shrub","N",2,5.2,"Erodium",1
103,"Open","N",2,10.2,"Hordeum",0
103,"Shrub","N",2,5.2,"Hordeum",0
103,"Open","N",2,10.2,"Marrubium",0
103,"Shrub","N",2,5.2,"Marrubium",1
103,"Open","N",2,10.2,"Schismus",0
103,"Shrub","N",2,5.2,"Schismus",0
104,"Open","N",0,13,"BromusR",40
104,"Shrub","N",0,11.8,"BromusR",54
104,"Open","N",0,13,"Amsinckia",0
104,"Shrub","N",0,11.8,"Amsinckia",0
104,"Open","N",0,13,"Brassica",0
104,"Shrub","N",0,11.8,"Brassica",0
104,"Open","N",0,13,"BromusH",0
104,"Shrub","N",0,11.8,"BromusH",0
104,"Open","N",0,13,"Erodium",22
104,"Shrub","N",0,11.8,"Erodium",18
104,"Open","N",0,13,"Hordeum",0
104,"Shrub","N",0,11.8,"Hordeum",0
104,"Open","N",0,13,"Marrubium",0
104,"Shrub","N",0,11.8,"Marrubium",0
104,"Open","N",0,13,"Schismus",0
104,"Shrub","N",0,11.8,"Schismus",0
114,"Open","Y",5,7,"BromusR",57
114,"Shrub","Y",5,13.9,"BromusR",36
114,"Open","Y",5,7,"Amsinckia",0
114,"Shrub","Y",5,13.9,"Amsinckia",0
114,"Open","Y",5,7,"Brassica",0
114,"Shrub","Y",5,13.9,"Brassica",0
114,"Open","Y",5,7,"BromusH",6
114,"Shrub","Y",5,13.9,"BromusH",22
114,"Open","Y",5,7,"Erodium",0
114,"Shrub","Y",5,13.9,"Erodium",0
114,"Open","Y",5,7,"Hordeum",0
114,"Shrub","Y",5,13.9,"Hordeum",0
114,"Open","Y",5,7,"Marrubium",7
114,"Shrub","Y",5,13.9,"Marrubium",0
114,"Open","Y",5,7,"Schismus",0
114,"Shrub","Y",5,13.9,"Schismus",0
118,"Open","Y",1,11.9,"BromusR",76
118,"Shrub","Y",1,9.4,"BromusR",185
118,"Open","Y",1,11.9,"Amsinckia",0
118,"Shrub","Y",1,9.4,"Amsinckia",0
118,"Open","Y",1,11.9,"Brassica",0
118,"Shrub","Y",1,9.4,"Brassica",0
118,"Open","Y",1,11.9,"BromusH",0
118,"Shrub","Y",1,9.4,"BromusH",0
118,"Open","Y",1,11.9,"Erodium",0
118,"Shrub","Y",1,9.4,"Erodium",0
118,"Open","Y",1,11.9,"Hordeum",0
118,"Shrub","Y",1,9.4,"Hordeum",0
118,"Open","Y",1,11.9,"Marrubium",0
118,"Shrub","Y",1,9.4,"Marrubium",0
118,"Open","Y",1,11.9,"Schismus",0
118,"Shrub","Y",1,9.4,"Schismus",0
120,"Open","N",3,9.8,"BromusR",17
120,"Shrub","N",3,6.7,"BromusR",107
120,"Open","N",3,9.8,"Amsinckia",0
120,"Shrub","N",3,6.7,"Amsinckia",0
120,"Open","N",3,9.8,"Brassica",0
120,"Shrub","N",3,6.7,"Brassica",0
120,"Open","N",3,9.8,"BromusH",0
120,"Shrub","N",3,6.7,"BromusH",11
120,"Open","N",3,9.8,"Erodium",21
120,"Shrub","N",3,6.7,"Erodium",0
120,"Open","N",3,9.8,"Hordeum",0
120,"Shrub","N",3,6.7,"Hordeum",0
120,"Open","N",3,9.8,"Marrubium",0
120,"Shrub","N",3,6.7,"Marrubium",0
120,"Open","N",3,9.8,"Schismus",0
120,"Shrub","N",3,6.7,"Schismus",0
121,"Open","N",0,8.4,"BromusR",5
121,"Shrub","N",0,5.3,"BromusR",65
121,"Open","N",0,8.4,"Amsinckia",0
121,"Shrub","N",0,5.3,"Amsinckia",0
121,"Open","N",0,8.4,"Brassica",0
121,"Shrub","N",0,5.3,"Brassica",0
121,"Open","N",0,8.4,"BromusH",0
121,"Shrub","N",0,5.3,"BromusH",0
121,"Open","N",0,8.4,"Erodium",0
121,"Shrub","N",0,5.3,"Erodium",17
121,"Open","N",0,8.4,"Hordeum",0
121,"Shrub","N",0,5.3,"Hordeum",0
121,"Open","N",0,8.4,"Marrubium",0
121,"Shrub","N",0,5.3,"Marrubium",4
121,"Open","N",0,8.4,"Schismus",39
121,"Shrub","N",0,5.3,"Schismus",0
123,"Open","N",3,10.2,"BromusR",8
123,"Shrub","N",3,10,"BromusR",5
123,"Open","N",3,10.2,"Amsinckia",0
123,"Shrub","N",3,10,"Amsinckia",0
123,"Open","N",3,10.2,"Brassica",0
123,"Shrub","N",3,10,"Brassica",0
123,"Open","N",3,10.2,"BromusH",0
123,"Shrub","N",3,10,"BromusH",0
123,"Open","N",3,10.2,"Erodium",8
123,"Shrub","N",3,10,"Erodium",0
123,"Open","N",3,10.2,"Hordeum",0
123,"Shrub","N",3,10,"Hordeum",0
123,"Open","N",3,10.2,"Marrubium",2
123,"Shrub","N",3,10,"Marrubium",1
123,"Open","N",3,10.2,"Schismus",85
123,"Shrub","N",3,10,"Schismus",26
125,"Open","N",2,10.8,"BromusR",25
125,"Shrub","N",2,4.5,"BromusR",7
125,"Open","N",2,10.8,"Amsinckia",0
125,"Shrub","N",2,4.5,"Amsinckia",0
125,"Open","N",2,10.8,"Brassica",0
